id;creation_date;name;email;feedback
1;2020-04-27;Directives application Home Loan Account;Isabel5@gmail.com;../fake-data/blob/hipster.txt
2;2020-04-27;seamless Metal deposit;Waino_Reichert21@gmail.com;../fake-data/blob/hipster.txt
3;2020-04-27;Officer;Elliott.Monahan@yahoo.com;../fake-data/blob/hipster.txt
4;2020-04-27;intangible;Greg29@yahoo.com;../fake-data/blob/hipster.txt
5;2020-04-26;Multi-channelled Licensed;Cody_Homenick@yahoo.com;../fake-data/blob/hipster.txt
6;2020-04-26;Refined Rubber Chicken Table;Adonis_White56@gmail.com;../fake-data/blob/hipster.txt
7;2020-04-26;access Intelligent;Dayne.Kessler60@hotmail.com;../fake-data/blob/hipster.txt
8;2020-04-26;Games Regional Digitized;Nicolas_Hagenes@yahoo.com;../fake-data/blob/hipster.txt
9;2020-04-27;Georgia Industrial;Opal.Kirlin89@hotmail.com;../fake-data/blob/hipster.txt
10;2020-04-26;capacitor archive;Cleve96@yahoo.com;../fake-data/blob/hipster.txt
